name,creator,creation_date,updater,update_date,closed_date,message
rails/rails,Santiago Pastorino,1351791478000,Santiago Pastorino,1351791478000,NaN,"v3.2.9.rc2"
rails/rails,Santiago Pastorino,1351528703000,Santiago Pastorino,1351528703000,NaN,"v3.2.9.rc1"
rails/rails,Santiago Pastorino,1344540396000,Santiago Pastorino,1344540396000,NaN,"v3.2.8"
rails/rails,Santiago Pastorino,1344002510000,Santiago Pastorino,1344002510000,NaN,"v3.2.8.rc2"
rails/rails,Santiago Pastorino,1343854248000,Santiago Pastorino,1343854248000,NaN,"v3.2.8.rc1"
rails/rails,Aaron Patterson,1343338471000,Aaron Patterson,1343338471000,NaN,"v3.2.7"
rails/rails,Aaron Patterson,1343079662000,Aaron Patterson,1343079662000,NaN,"v3.2.7.rc1"
rails/rails,Aaron Patterson,1339534960000,Aaron Patterson,1339534960000,NaN,"v3.2.6"
rails/rails,Aaron Patterson,1338521883000,Aaron Patterson,1338521883000,NaN,"v3.2.5"
rails/rails,Aaron Patterson,1338485267000,Aaron Patterson,1338485267000,NaN,"v3.2.4"
rails/rails,Aaron Patterson,1338231495000,Aaron Patterson,1338231495000,NaN,"v3.2.4.rc1"
rails/rails,Santiago Pastorino,1333146148000,Santiago Pastorino,1333146148000,NaN,"v3.2.3"
rails/rails,Santiago Pastorino,1333037564000,Santiago Pastorino,1333037564000,NaN,"v3.2.3.rc2"
rails/rails,Santiago Pastorino,1332868056000,Santiago Pastorino,1332868056000,NaN,"v3.2.3.rc1"
rails/rails,Aaron Patterson,1330622188000,Aaron Patterson,1330622188000,NaN,"v3.2.2"
rails/rails,Aaron Patterson,1329940993000,Aaron Patterson,1329940993000,NaN,"v3.2.2.rc1"
rails/rails,Xavier Noria,1327618442000,Xavier Noria,1327618442000,NaN,"v3.2.1"
rails/rails,David Heinemeier Hansson,1327077872000,David Heinemeier Hansson,1327077872000,NaN,"v3.2.0"
rails/rails,Santiago Pastorino,1325710781000,Santiago Pastorino,1325710781000,NaN,"v3.2.0.rc2"
rails/rails,David Heinemeier Hansson,1324341297000,David Heinemeier Hansson,1324341297000,NaN,"v3.2.0.rc1"
rails/rails,Aaron Patterson,1363623433000,Aaron Patterson,1363623433000,NaN,"v3.1.12"
rails/rails,Aaron Patterson,1360552103000,Aaron Patterson,1360552103000,NaN,"v3.1.11"
rails/rails,Aaron Patterson,1357604272000,Aaron Patterson,1357672316000,NaN,"v3.1.10"
rails/rails,Aaron Patterson,1356298734000,Aaron Patterson,1356298734000,NaN,"v3.1.9"
rails/rails,Santiago Pastorino,1344540159000,Santiago Pastorino,1344540159000,NaN,"v3.1.8"
rails/rails,Aaron Patterson,1343339931000,Aaron Patterson,1343339931000,NaN,"v3.1.7"
rails/rails,Aaron Patterson,1339535018000,Aaron Patterson,1339535018000,NaN,"v3.1.6"
rails/rails,Aaron Patterson,1338486155000,Aaron Patterson,1338486155000,NaN,"v3.1.5"
rails/rails,Aaron Patterson,1338231296000,Aaron Patterson,1338231296000,NaN,"v3.1.5.rc1"
rails/rails,Aaron Patterson,1330622424000,Aaron Patterson,1330622424000,NaN,"v3.1.4"
rails/rails,Aaron Patterson,1329941169000,Aaron Patterson,1329941169000,NaN,"v3.1.4.rc1"
rails/rails,Jon Leighton,1321829300000,Jon Leighton,1321829300000,NaN,"v3.1.3"
rails/rails,Jon Leighton,1321579679000,Jon Leighton,1321579679000,NaN,"v3.1.2"
rails/rails,Jon Leighton,1321285490000,Jon Leighton,1321285490000,NaN,"v3.1.2.rc2"
rails/rails,Jon Leighton,1321279979000,Jon Leighton,1321279979000,NaN,"v3.1.2.rc1"
rails/rails,Santiago Pastorino,1318000422000,Santiago Pastorino,1318000422000,NaN,"v3.1.1"
rails/rails,Santiago Pastorino,1317859208000,Santiago Pastorino,1317859208000,NaN,"v3.1.1.rc3"
rails/rails,Santiago Pastorino,1317327115000,Santiago Pastorino,1317327115000,NaN,"v3.1.1.rc2"
rails/rails,Santiago Pastorino,1316041308000,Santiago Pastorino,1316042712000,NaN,"v3.1.1.rc1"
rails/rails,Aaron Patterson,1314755915000,Aaron Patterson,1314755915000,NaN,"v3.1.0"
rails/rails,Santiago Pastorino,1314587406000,Santiago Pastorino,1314587406000,NaN,"v3.1.0.rc8"
rails/rails,Santiago Pastorino,1314575239000,Santiago Pastorino,1314575287000,NaN,"v3.1.0.rc7"
rails/rails,Aaron Patterson,1313533790000,Aaron Patterson,1313533790000,NaN,"v3.1.0.rc6"
rails/rails,Aaron Patterson,1311634981000,Aaron Patterson,1311634981000,NaN,"v3.1.0.rc5"
rails/rails,Aaron Patterson,1307660029000,Aaron Patterson,1307660029000,NaN,"v3.1.0.rc4"
rails/rails,Aaron Patterson,1307568860000,Aaron Patterson,1307568860000,NaN,"v3.1.0.rc3"
rails/rails,Aaron Patterson,1307490495000,Aaron Patterson,1307490495000,NaN,"v3.1.0.rc2"
rails/rails,David Heinemeier Hansson,1306029412000,David Heinemeier Hansson,1306029412000,NaN,"v3.1.0.rc1"
rails/rails,David Heinemeier Hansson,1304558465000,David Heinemeier Hansson,1304558465000,NaN,"v3.1.0.beta1"
rails/rails,Aaron Patterson,1359406068000,Aaron Patterson,1359406068000,NaN,"v3.0.20"
rails/rails,Aaron Patterson,1357604528000,Aaron Patterson,1357672437000,NaN,"v3.0.19"
rails/rails,Aaron Patterson,1356301859000,Aaron Patterson,1356301859000,NaN,"v3.0.18"
rails/rails,Santiago Pastorino,1344539828000,Santiago Pastorino,1344539828000,NaN,"v3.0.17"
rails/rails,Aaron Patterson,1343339979000,Aaron Patterson,1343339979000,NaN,"v3.0.16"
rails/rails,Aaron Patterson,1339556746000,Aaron Patterson,1339556746000,NaN,"v3.0.15"
rails/rails,Aaron Patterson,1339535121000,Aaron Patterson,1339535121000,NaN,"v3.0.14"
rails/rails,Aaron Patterson,1338486900000,Aaron Patterson,1338486900000,NaN,"v3.0.13"
rails/rails,Aaron Patterson,1338230882000,Aaron Patterson,1338230882000,NaN,"v3.0.13.rc1"
